연번,역명,호선,구,동,상세주소,lon,lat
58,도림천,2,구로구,신도림동,서울특별시 구로구 신도림동 323-16 도림천역,126.88264,37.51447
59,양천구청,2,양천구,신정동,서울특별시 양천구 신정동 276-7 양천구청역,126.865649,37.512332
60,신정네거리,2,양천구,신정동,서울특별시 양천구 신정동 1231 신정네거리역,126.8535941,37.5183163
61,까치산,2,강서구,화곡동,서울특별시 강서구 화곡동 662-5 까치산역,126.8463214,37.5325506
62,지축,3,고양시 덕양구,덕양구,경기도 고양시 덕양구 지축동 818-64 3호선 지축역,126.913746,37.648114
63,구파발,3,은평구,진관동,서울특별시 은평구 진관동 67-26 3호선 구파발역사무소,126.918833,37.636581
64,연신내,3,은평구,갈현동,서울특별시 은평구 갈현동 397 연신내역(3호선),126.9158948,37.6245589
65,불광,3,은평구,대조동,서울특별시 은평구 대조동 14-1 불광역(3호선),126.9301955,37.6100982
66,녹번,3,은평구,녹번동,서울특별시 은평구 녹번동 55 지하철3호선 녹번역,126.9357503,37.6009184
67,홍제,3,서대문구,홍제동,서울특별시 서대문구 홍제동 161-1 홍제역,126.9458373,37.5872664
68,무악재,3,서대문구,홍제동,서울특별시 서대문구 홍제동 26-1 무악재역,126.9517492,37.5816646
69,독립문,3,서대문구,현저동,서울특별시 서대문구 현저동 101 독립문역,126.9571103,37.5718949
70,경복궁(정부서울청사),3,종로구,적선동,서울특별시 종로구 적선동 81-1 3호선 경복궁역,126.9730579,37.5758199
71,안국,3,종로구,안국동,서울특별시 종로구 안국동 155-2 3호선 안국역,126.985472,37.576556
72,종로3가,3,종로구,묘동,서울특별시 종로구 묘동 59 종로3가역(3호선),126.9912475,37.5715
73,을지로3가,3,중구,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),126.9917735,37.566286
74,충무로,3,중구,필동2가,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",126.9935314,37.5609697
75,동대입구,3,중구,장충동2가,서울특별시 중구 장충동2가 199-3 동대입구역 3호선,127.005064,37.5591753
76,약수,3,중구,신당동,서울특별시 중구 신당동 369-44 약수역(3호선),127.0110164,37.5543795
77,금호,3,성동구,금호동4가,서울특별시 성동구 금호동4가 1470 금호역,127.0158826,37.5480381
78,옥수,3,성동구,옥수동,서울특별시 성동구 옥수동 168-1 옥수역,127.0172208,37.5398948
79,압구정,3,강남구,신사동,서울특별시 강남구 신사동 668 압구정역,127.0284569,37.5263901
80,신사,3,강남구,신사동,서울특별시 강남구 신사동 667 신사역,127.0203073,37.5163915
81,잠원,3,서초구,잠원동,서울특별시 서초구 잠원동 100-1 잠원역,127.0076626,37.5140695
82,고속터미널,3,서초구,반포동,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),127.0049151,37.5049142
83,교대(법원·검찰청),3,서초구,서초동,서울특별시 서초구 서초동 1748-4 교대역(3호선),127.0190234,37.4887673
84,남부터미널(예술의전당),3,서초구,서초동,서울특별시 서초구 서초동 1748-30 남부터미널역,127.01629,37.484918
85,양재(서초구청),3,서초구,서초동,서울특별시 서초구 서초동 1366-9 양재역,127.0341755,37.4843603
